"Report Date","Age","Cases","Rate per 100k"
2020-05-27,"25-44 years",97,10.78
2020-05-27,"45-64 years",57,9.16
2020-05-27,"65-84 years",29,9.27
2020-05-27,"85+ years",9,23.82
2020-05-28,"0-1 years",3,5.98
2020-05-28,"1-14 years",24,3.29
2020-05-28,"15-24 years",69,13.53
2020-05-28,"25-44 years",149,16.56
2020-05-28,"45-64 years",73,11.73
2020-05-28,"65-84 years",14,4.48
2020-05-28,"85+ years",1,2.65
2020-05-29,"1-14 years",18,2.47
2020-05-29,"15-24 years",57,11.18
2020-05-29,"25-44 years",121,13.45
2020-05-29,"45-64 years",59,9.48
2020-05-29,"65-84 years",20,6.4
2020-05-29,"85+ years",2,5.29
2020-05-30,"1-14 years",16,2.2
2020-05-30,"15-24 years",52,10.2
2020-05-30,"25-44 years",112,12.45
2020-05-30,"45-64 years",77,12.37
2020-05-30,"65-84 years",11,3.52
2020-05-30,"85+ years",4,10.59
2020-05-31,"0-1 years",1,1.99
2020-05-31,"1-14 years",14,1.92
2020-05-31,"15-24 years",42,8.24
2020-05-31,"25-44 years",85,9.45
2020-05-31,"45-64 years",45,7.23
2020-05-31,"65-84 years",13,4.16
2020-05-31,"85+ years",7,18.53
2020-06-01,"0-1 years",1,1.99
2020-06-01,"1-14 years",11,1.51
2020-06-01,"15-24 years",39,7.65
2020-06-01,"25-44 years",76,8.45
2020-06-01,"45-64 years",58,9.32
2020-06-01,"65-84 years",12,3.84
2020-06-01,"85+ years",5,13.24
2020-06-02,"0-1 years",3,5.98
2020-06-02,"1-14 years",24,3.29
2020-06-02,"15-24 years",55,10.79
2020-06-02,"25-44 years",106,11.78
2020-06-02,"45-64 years",69,11.09
2020-06-02,"65-84 years",24,7.68
2020-06-03,"0-1 years",1,1.99
2020-06-03,"1-14 years",17,2.33
2020-06-03,"15-24 years",60,11.77
2020-06-03,"25-44 years",122,13.56
2020-06-03,"45-64 years",82,13.18
2020-06-03,"65-84 years",28,8.95
2020-06-03,"85+ years",2,5.29
2020-06-04,"1-14 years",23,3.16
2020-06-04,"15-24 years",82,16.08
2020-06-04,"25-44 years",189,21.01
2020-06-04,"45-64 years",130,20.89
2020-06-04,"65-84 years",24,7.68
2020-06-05,"0-1 years",2,3.99
2020-06-05,"1-14 years",32,4.39
2020-06-05,"15-24 years",105,20.59
2020-06-05,"25-44 years",214,23.79
2020-06-05,"45-64 years",179,28.76
2020-06-05,"65-84 years",12,3.84
2020-06-05,"85+ years",1,2.65
2020-06-06,"1-14 years",18,2.47
2020-06-06,"15-24 years",56,10.98
2020-06-06,"25-44 years",111,12.34
2020-06-06,"45-64 years",71,11.41
2020-06-06,"65-84 years",21,6.72
2020-06-07,"0-1 years",2,3.99
2020-06-07,"1-14 years",20,2.74
2020-06-07,"15-24 years",61,11.96
2020-06-07,"25-44 years",107,11.9
2020-06-07,"45-64 years",74,11.89
2020-06-07,"65-84 years",18,5.76
2020-06-07,"85+ years",1,2.65
2020-06-08,"0-1 years",1,1.99
2020-06-08,"1-14 years",9,1.24
2020-06-08,"15-24 years",38,7.45
2020-06-08,"25-44 years",86,9.56
2020-06-08,"45-64 years",48,7.71
2020-06-08,"65-84 years",12,3.84
2020-06-08,"85+ years",2,5.29
2020-06-09,"0-1 years",1,1.99
2020-06-09,"1-14 years",8,1.1
2020-06-09,"15-24 years",70,13.73
2020-06-09,"25-44 years",109,12.12
2020-06-09,"45-64 years",107,17.19
2020-06-09,"65-84 years",15,4.8
2020-06-09,"85+ years",1,2.65
2020-06-10,"0-1 years",1,1.99
2020-06-10,"1-14 years",25,3.43
2020-06-10,"15-24 years",91,17.85
2020-06-10,"25-44 years",159,17.68
2020-06-10,"45-64 years",73,11.73
2020-06-10,"65-84 years",23,7.36
2020-06-11,"0-1 years",1,1.99
2020-06-11,"1-14 years",24,3.29
2020-06-11,"15-24 years",91,17.85
2020-06-11,"25-44 years",118,13.12
2020-06-11,"45-64 years",87,13.98
2020-06-11,"65-84 years",14,4.48
2020-06-11,"85+ years",1,2.65
2020-06-12,"0-1 years",1,1.99
2020-06-12,"1-14 years",24,3.29
2020-06-12,"15-24 years",103,20.2
2020-06-12,"25-44 years",163,18.12
2020-06-12,"45-64 years",90,14.46
2020-06-12,"65-84 years",19,6.08
2020-06-12,"85+ years",2,5.29
2020-06-13,"0-1 years",1,1.99
2020-06-13,"1-14 years",24,3.29
2020-06-13,"15-24 years",79,15.49
2020-06-13,"25-44 years",119,13.23
2020-06-13,"45-64 years",94,15.1
2020-06-13,"65-84 years",23,7.36
2020-06-13,"85+ years",1,2.65
2020-06-14,"0-1 years",2,3.99
2020-06-14,"1-14 years",20,2.74
2020-06-14,"15-24 years",66,12.94
2020-06-14,"25-44 years",125,13.9
2020-06-14,"45-64 years",73,11.73
2020-06-14,"65-84 years",14,4.48
2020-06-14,"85+ years",3,7.94
2020-06-15,"0-1 years",4,7.97
2020-06-15,"1-14 years",24,3.29
2020-06-15,"15-24 years",61,11.96
2020-06-15,"25-44 years",110,12.23
2020-06-15,"45-64 years",93,14.94
2020-06-15,"65-84 years",25,7.99
2020-06-15,"85+ years",1,2.65
2020-06-16,"0-1 years",4,7.97
2020-06-16,"1-14 years",25,3.43
2020-06-16,"15-24 years",95,18.63
2020-06-16,"25-44 years",177,19.68
2020-06-16,"45-64 years",97,15.59
2020-06-16,"65-84 years",22,7.04
2020-06-16,"85+ years",2,5.29
2020-06-17,"0-1 years",3,5.98
2020-06-17,"1-14 years",45,6.18
2020-06-17,"15-24 years",102,20
2020-06-17,"25-44 years",183,20.34
2020-06-17,"45-64 years",115,18.48
2020-06-17,"65-84 years",35,11.19
